sma_one,sma_two,result
20,75,0.032796872979798754
20,78,0.03451822786550704
20,81,0.035011438421124204
20,84,0.034795895166195155
22,83,0.034399076616746536
22,86,0.03505375924502372
23,75,0.032383125583913694
23,78,0.03346534458423566
23,81,0.03400493382213545
23,84,0.03503501483844262
24,79,0.03375703822593997
24,82,0.034744804564741334
24,85,0.03522543568255438
24,88,0.03610648775767992
25,80,0.03396290719956572
25,83,0.035420331719077665
25,86,0.03589359820634437
25,89,0.03593342070915389
25,92,0.035449815787000134
26,75,0.033185089700057416
26,78,0.034214551947695175
26,81,0.034670204018866176
26,84,0.035771980192007634
26,87,0.035673242280396304
26,90,0.03617102323787842
26,93,0.03671352204467623
26,96,0.036881153751792885
27,79,0.03429134497433964
27,82,0.03514414476941068
27,85,0.03588636944943545
27,88,0.036272801647619264
28,83,0.03572397711678093
28,86,0.036310912773566434
28,89,0.035767471908772434
28,92,0.03542464502355568
29,75,0.033729327048532994
29,78,0.03516176042968278
29,81,0.03532309053794356
29,84,0.036058014455114425
29,87,0.03607982756193665
29,90,0.03556782078579816
29,93,0.036543511579049184
29,96,0.037655265535145935
30,100,0.038101540455620725
30,79,0.03496427771147787
30,82,0.03537637827260634
30,85,0.036247860962300385
30,88,0.03573891690399459
30,91,0.035949851245649124
30,94,0.03686220489174625
30,97,0.0378879950674842
31,83,0.03484923949646958
31,86,0.035086052842038605
31,89,0.03513337247698313
31,92,0.036680814526519175
32,87,0.03484685176319851
32,90,0.035345107984473864
32,93,0.03701135927796215
32,96,0.037523916949190536
33,100,0.038002221365376135
33,79,0.03523779251737698
33,82,0.03574830761274158
33,85,0.03530661606638213
33,88,0.035351005840317994
33,91,0.0361315295636102
33,94,0.036682165135529216
33,97,0.03703600748943421
34,101,0.03814440145354619
34,104,0.03857641075945565
34,107,0.03859300128622619
34,110,0.03867041563494731
34,95,0.03743889227267177
34,98,0.03794217809236211
35,102,0.03845599420838283
35,105,0.038267957625571315
35,108,0.038397943901302516
35,87,0.03622137475313995
35,90,0.036463169731798334
35,93,0.03793962419945584
35,96,0.038230342270942345
35,99,0.03789188503457749
36,100,0.03785606423215643
36,91,0.036911235063575916
36,94,0.037708395519811734
36,97,0.037604226442202716
37,101,0.038211195038463715
37,104,0.03870030433514856
37,95,0.037747217415084335
37,98,0.03749515538411335
38,102,0.03883257785924035
38,105,0.03904408635026968
38,108,0.03909599965764938
38,99,0.03759807825022468
39,100,0.0383901635911679
39,103,0.03895873950211075
39,106,0.03895835771109822
39,109,0.03976299771499781
39,112,0.04015627612738104
39,91,0.0370284472106105
39,94,0.03796995619220738
39,97,0.03708547937882061
40,101,0.03782563814342733
40,104,0.03874236040549624
40,95,0.037261925401649014
40,98,0.037576123545603225
41,102,0.038141193361597665
41,105,0.03869064595711953
41,108,0.03890974051712868
41,99,0.03701189079992402
42,103,0.037918812673280435
42,106,0.038337149584988066
42,109,0.038939069247664486
42,112,0.03965783655074413
43,101,0.0381421998856122
43,104,0.038500831624408205
43,95,0.03697033947194125
43,98,0.037050635797671684
44,102,0.03867562598278805
44,105,0.039484813859786895
44,108,0.0395934458654544
44,99,0.03801469029024555
45,103,0.0392395494572494
45,106,0.03961491242127629
45,109,0.039273639822900865
45,112,0.03969723711897664
48,103,0.03924873518303218
48,106,0.039091459394668536
48,109,0.03929096704280239
48,112,0.03951325870192463
5,31,0.022088324198620557
15,35,0.030053229313202787
14,33,0.030582430874784333
14,34,0.030805114152182917
14,35,0.03085628611361216
14,36,0.03087479118442242
14,37,0.03056645842452581
15,33,0.03062724450332845
15,34,0.031243260692412057
15,36,0.03089137628484832
15,37,0.029893811818262155
16,33,0.03176871690918393
16,34,0.03248537515144466
16,35,0.03130303850569656
16,36,0.031463031095905584
16,37,0.031038324671346925
15,32,0.030012524412578317
16,32,0.03213385427961178
17,32,0.032347407516111086
17,33,0.031850549112467035
17,34,0.03231238575280688
17,35,0.032282584795767365
17,36,0.031339629317196235
12,41,0.030302222672751563
11,39,0.030036149208070188
11,40,0.029753095601231964
11,41,0.030113942459288237
11,42,0.030133971886679774
11,43,0.03151091431370218
12,39,0.030786677567064536
12,40,0.030528223490968755
12,42,0.030599564257606807
12,43,0.03145156448370152
13,39,0.029769661424605024
13,40,0.029693780994106175
13,41,0.029783548910772614
13,42,0.029616042868406682
13,43,0.02999704600048458
10,41,0.030759982148260107
10,42,0.03048770308249017
10,43,0.030769494520833118
10,44,0.031136239153590924
10,45,0.03138607914357821
11,44,0.03174216843992339
11,45,0.03200311057406192
12,44,0.03103504770949035
